participantID,memo1,memo2,memo3,memo4,memo5,memo6
137,AI,AI,NoAI,AI,NoAI,NoAI
284,NoAI,NoAI,AI,NoAI,AI,AI
316,AI,NoAI,AI,AI,NoAI,NoAI
429,NoAI,AI,NoAI,NoAI,AI,AI
508,AI,AI,NoAI,AI,NoAI,NoAI
561,NoAI,NoAI,AI,NoAI,AI,AI
643,AI,NoAI,AI,AI,NoAI,NoAI
715,NoAI,AI,NoAI,NoAI,AI,AI
782,AI,AI,NoAI,AI,NoAI,NoAI
836,NoAI,NoAI,AI,NoAI,AI,AI
914,AI,NoAI,AI,AI,NoAI,NoAI
957,NoAI,AI,NoAI,NoAI,AI,AI
883,AI,AI,NoAI,AI,NoAI,NoAI
1,NoAI,AI,NoAI,AI,NoAI,AI
2,NoAI,AI,NoAI,AI,NoAI,AI
3,NoAI,AI,NoAI,AI,NoAI,AI
4,NoAI,AI,NoAI,AI,NoAI,AI
5,NoAI,AI,NoAI,AI,NoAI,AI
6,NoAI,AI,NoAI,AI,NoAI,AI
7,NoAI,AI,NoAI,AI,NoAI,AI
8,NoAI,AI,NoAI,AI,NoAI,AI
9,NoAI,AI,NoAI,AI,NoAI,AI
10,NoAI,AI,NoAI,AI,NoAI,AI
11,AI,NoAI,AI,NoAI,AI,NoAI
12,AI,NoAI,AI,NoAI,AI,NoAI
13,AI,NoAI,AI,NoAI,AI,NoAI
14,AI,NoAI,AI,NoAI,AI,NoAI
15,AI,NoAI,AI,NoAI,AI,NoAI
16,AI,NoAI,AI,NoAI,AI,NoAI
17,AI,NoAI,AI,NoAI,AI,NoAI
18,AI,NoAI,AI,NoAI,AI,NoAI
19,AI,NoAI,AI,NoAI,AI,NoAI
20,AI,NoAI,AI,NoAI,AI,NoAI
